日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间
91.79,0.0053,0.024,3.7476,541.15,0.0142,22
1488.17,0.0014,0.0071,2.1687,145.95,0.0029,3
4.97,0.0057,0.2702,5.5553,465.83,0.0244,24
0.61,0.0096,0.0962,5.9712,917.39,0.0351,28
1.2,0,0.44799999999999995,2,219,0,15
16516.13,0.0009,0.0059,1.7708,531.53,0.0019,10
162.88,0,0,1.0077,22.92,0,6
9.99,0,0.001,1.0090000000000001,18.77,0,10
502.84,0.0001,0,1.0149,38.92,0,19
168.31,0,0.0002,1.023,77.98,0.0001,2
32.76,0,0.0003,1.0387,96.85,0,30
139.99,0.0003,0.0001,1.0344,114.88,0.0001,16
4.78,0.005,0.4908,3.7002,489.25,0.008,9
5.1,0.003,0.5342,4.631,451.28,0.0135,9
306.37,0,0.0033,1.3893,241.02,0.0001,9
152.72,0.0001,0.0028,1.8394,176.11,0.0001,30
88.86,0,0.0031,1.9085,98.14,0,7
287.93,0,0.0027,1.8996,114.92,0,2
565.31,0,0.0022,1.7711,173.16,0,30
568.8,0.0001,0.0017,1.6585,134.03,0,14
178.9,0,0.0017,1.8327,107.28,0,5
0.74,0,0.0132,1.9211,426,0,8
1322.14,0.0014,0.005,1.3908,274.15,0.0004,20
87.48,0.0002,0.0059,1.3419,258.99,0.0004,5
543.67,0.0009,0.0046,1.2429,316.72,0.0002,12
39.18,0,0.0055,1.2206,259.97,0.0002,18
1.25,0,0,2.1061,318.56,0,13
55.07,0.0014,0.0046,1.9271,383.78,0.0014,16
0.06,0,0,1.1656,409.5,0,10
579,0,0.0012,1.8318,80.3,0,3
398.8,0,0.0002,1.8756,99.27,0,4
498.85,0,0.0029,1.8693,124.97,0,19
477.69,0,0.0025,1.7601,157.33,0,26
1281.1,0,0.0026,1.8829,115.39,0,10
359.93,0,0.0018,1.7518,176.82,0,5
167.44,0.0066,0.1574,4.2488,404.57,0.0086,18
173.43,0.0053,0.0849,4.2528,365.57,0.0051,7
63.48,0.0061,0.1439,3.6239,331.89,0.0059,29
518.78,0.0041,0.0562,3.0421,258.29,0.0032,12
391.13,0,0.0011,1.8291,77,0,19
266.4,0,0.0003,1.8802,96.95,0,5
225.01,0.0001,0.0019,1.8384,95.36,0,10
87.42,0.0071,0.0231,2.3304,201.35,0.0059,5
713.75,0,0.0012,1.8215,80.46,0,17
638.76,0,0.0008,1.5621,178.65,0,15
623.6,0,0.0004,1.8561,98.93,0,11
38.57,0.0003,0.0028,1.8591,76.34,0.0002,6
538.46,0.0001,0.0031,1.8848,127.14,0.0001,7
315.57,0.0002,0.0035,1.8159999999999998,123.49,0.0002,23
0.49,0,0.0857,4.3429,548.6,0,8
292.98,0,0.0025,1.8332,138.98,0,2
296.14,0,0.0031,1.9034,101.06,0,2
36.53,0.0008,0.0091,2.1337,161.22,0.001,7
2604.89,0.0001,0.0011,1.8730000000000002,76.43,0,11
1.44,0,0.0068,1,86,0,4
0.93,0,0,1.5914,59.28,0,4
830.9,0,0.0015,1.8754,77.77,0,5
61.83,0.0002,0,1.9279,83.03,0.0001,27
0.88,0,0.0566,3.783,417.36,0.0054,4
413.49,0,0.0033,2.0443,151.66,0,1
0.6,0,0.09300000000000001,3.6047,422.59,0.004,21
267.82,0,0.0027,1.8544,124.81,0,15
151.88,0,0.0022,1.7966,175.38,0,6
548.71,0,0.0023,1.9003,118.96,0,22
5.24,0,0,1.9237,119.78,0,27
1345.56,0,0.0011,1.8324,80.33,0,28
950.39,0,0.0007,1.4946,221.93,0.0001,20
707.09,0,0.0004,1.8627,98.31,0,3
88.72,0,0.0017,2.2162,165.41,0,9
155.81,0,0.0024,1.8435,100.2,0,8
136.97,0,0.0022,1.8675,77.1,0.0001,5
309.7,0,0.0013,1.8047,86.29,0,5
117.5,0.0001,0.0025,1.8284,101.37,0,21
106.87,0,0.0024,2.1959,165.49,0,2
297.22,0.0001,0.0029,1.8578,123.74,0,24
167.75,0,0.0026,1.8706,185.82,0.0003,18
829.38,0,0.0025,1.8948,107.93,0.0002,24
634.46,0,0.0014,1.7834,159.79,0,15
184.86,0,0.0017,1.8230000000000002,83.28,0.0003,7
444.57,0,0.0009,1.3652,163.19,0.0001,1
99.87,0,0.0008,1.8737,93.7,0,25
255.12,0,0.002,1.9869999999999999,192.27,0,23
484.6,0,0.0024,1.7611,210.73,0,28
289.89,0,0.0024,1.9907,142.93,0,28
286.49,0,0.0016,2.0016,217.64,0,15
518.55,0,0.0014,1.8053,158.75,0.0001,29
981.16,0,0.0015,1.864,77.2,0.0001,1
557.57,0.0001,0.0013,1.6529,132.02,0.0001,25
169.09,0,0.0025,1.8829,94.91,0,21
119.4,0.0001,0.002,1.8281,148.43,0,20
119.14,0,0.0011,1.8204,112.15,0,29
131.73,0,0.0027,2.2175,173.47,0,27
365.14,0.0001,0.0027,1.8602,125.84,0,16
215.6,0,0.0024,1.8047,177.7,0,23
765.2,0,0.0024,1.8905,120.83,0,6
257.8,0,0.0021,1.8435,101.63,0,18
565.89,0,0.0014,1.7371,189.85,0,28
198.03,0.0001,0.001,1.8663,78.97,0.0002,1
474.41,0,0.0018,1.8065,86.81,0,19
365.39,0,0.0004,1.8689,99.78,0,14
467.28,0,0.002,1.9663,197.13,0,8
117.98,0,0.0031,2.0146,128.38,0,13
680.23,0,0.0023,1.9802,149.7,0,20
51.93,0,0.0019,1.8797,76.3,0,3
537.37,0,0.0013,1.8393,82.17,0,11
364.77,0.0001,0.0003,1.8955,96.57,0.0003,20
228.07,0,0.0022,1.8451,99.91,0,9
428.28,0,0.0016,1.7397,193.96,0,28
741.94,0,0.001,1.8459999999999999,80.12,0,30
361.74,0,0.0003,1.8679,99.38,0,11
0.65,0,0.5429,1.6429,131.13,0,10
180.05,0,0.0024,2.2217,169.44,0,11
498.19,0,0.0027,1.8619,123.98,0,16
478.65,0,0.0029,1.7664,158.25,0,11
1032.75,0,0.0026,1.8981,116.3,0,13
263.58,0,0.0028,1.9906,195.62,0,1
75,0,0.002,2.039,143.59,0,23
473.33,0.0001,0.0024,1.7409999999999999,208.98,0,18
189.59,0,0.0023,2.0546,176.67,0,6
290.83,0,0.0014,1.7971,85.86,0,25
318.47,0.0001,0.0008,1.8577,77.19,0.0002,10
271.14,0,0.0004,1.9033,98.79,0.0004,9
543.34,0,0.002,1.9942,191.28,0,20
138.79,0,0.0021,2.0325,125.49,0,11
367.32,0,0.0027,1.9269999999999998,137.48,0.0001,10
24.82,0.0022,0.0761,3.0297,308.71,0.0092,11
617.68,0,0.0021,1.1434,147.66,0,7
810.12,0.0001,0.0019,1.1485,77.19,0.0001,12
5.47,0,0,1.5504,261.59,0.0022,9
1.97,0,0,1.3858,2.26,0,30
1.97,0,0,1.3756,1.93,0,26
1.95,0,0,1.3846,2.41,0,5
1.98,0,0,1.3838,2.38,0,6
1.97,0,0,1.3807,2.44,0,21
1.97,0,0,1.3807,2.35,0,7
1.97,0,0,1.3807,2.69,0,17
1.96,0,0,1.3827,2.47,0,3
1.96,0,0,1.3878,2.85,0,6
1.98,0,0,1.3838,2.46,0,5
1.98,0,0,1.3687,2.43,0,30
1.96,0,0,1.3827,2.52,0,8
1.98,0,0,1.3838,2.38,0,25
1.98,0,0,1.3737,2.32,0,4
1.98,0,0,1.3788,1.93,0,26
1.98,0,0,1.3737,2.08,0,22
1.97,0,0,1.3807,2.57,0,4
1.98,0,0,1.3687,2.39,0,18
1.95,0,0,1.3846,2.7,0,9
1.99,0,0,1.3819,2.38,0,29
1.99,0,0,1.3769,2.54,0,9
1.95,0,0,1.3846,2.28,0,9
1.99,0,0,1.3819,2.45,0,1
1.99,0,0,1.3819,1.95,0,15
1.98,0,0,1.3889,2.32,0,5
1.97,0,0,1.3807,2.57,0,21
1.99,0,0,1.3769,2.15,0,3
1.97,0,0,1.3858,2.73,0,3
1.98,0,0,1.3788,1.99,0,28
1.98,0,0,1.3788,1.87,0,30
1.97,0,0,1.3706,1.95,0,12
1.98,0,0,1.3889,1.99,0,26
1.99,0,0,1.3869,1.77,0,3
1.97,0,0,1.3858,2.16,0,22
1.96,0,0,1.3776,2.23,0,10
1.98,0,0,1.3838,2.26,0,15
1.97,0,0,1.3807,1.78,0,9
1.93,0,0,1.3834,1.64,0,21
1291.11,0.0028,0.0096,2.515,415.74,0.0031,16
1738.51,0.0039,0.0032,1.6265,371.22,0.0014,19
220.92,0.0028,0.0072,1.8516,362.49,0.002,21
53.48,0.0009,0.012,1.5774,303.9,0.0022,5
6.52,0.0066,0.016,3.8404,472.56,0.0055,1
114.47,0.0062,0.0159,2.8569999999999998,377.61,0.0038,22
28.69,0.0003,0.0095,2.2779,368.38,0.0023,10
116.84,0.0022,0.0081,2.7337,308.91,0.0037,18
10.16,0.0031,0.0176,6.204,470.76,0.0166,30
5.92,0,0.0364,2.9367,398.58,0.0036,25
165.79,0.0027,0.0042,2.2885,354.68,0.0029,25
164.69,0.0022,0.0218,2.3847,364.85,0.004,3
225.59,0.0017,0.0139,2.3273,347.66,0.0027,4
18.63,0.002,0.0138,1.8717,388.38,0.0019,21
17.28,0.0039,0.0112,2.2847,379.8,0.0019,22
44.07,0.0053,0.0141,2.0799,402.74,0.0018,1
28.77,0.001,0.004,2.2984,311.59,0.0035,1
27.17,0.0054,0.0306,2.6977,407.39,0.0052,9
152.97,0.0035,0.0208,3.6382,391.23,0.0058,22
130.41,0.0084,0.0215,3.9953,399.94,0.0089,1
212.86,0.0047,0.0034,2.6839,222.59,0.0031,26
3.38,0.0029,0,3.6532,254.91,0.0056,9
49.17,0.0045,0.0039,3.0582,370.45,0.0043,22
88.94,0.0099,0.0182,3.4988,352.99,0.0032,1
568.39,0.0027,0.0179,3.4610000000000003,389.42,0.0044,13
152.9,0.0017,0.0137,2.485,370.96,0.0032,7
77.32,0.0011,0.0143,2.3613,294.53,0.0013,30
80.18,0.0019,0.0124,2.2023,372.06,0.0024,19
66.93,0.0014,0.0151,2.2574,355.74,0.0021,19
13.23,0.0035,0.0215,3.6223,387.24,0.0092,4
59.75,0.0016,0.0184,1.8876,312.8,0.0014,9
1496.41,0.0015,0.0064,1.6607,381.72,0.0029,12
56.51,0.0007,0.0191,1.0501,317.5,0,23
141.42,0,0.0077,1.0307,443.16,0,24
85.36,0.001,0.0128,1.7968,358.04,0.0023,17
238.17,0.0011,0.0094,1.5522,373.64,0.0017,10
128.47,0.0037,0.0202,2.8795,451.55,0.0071,4
160.7,0.0014,0.0088,1.6137,409.33,0.0013,11
99.94,0.0009,0.0067,1.3371,330.23,0.0013,12
273.33,0.0007,0.0074,1.4469,416.74,0.0013,28
200.65,0.0009,0.0078,1.4506,333.16,0.002,20
61.51,0.0021,0.0097,2.468,396.4,0.0036,15
775.72,0.0009,0.0078,1.2177,361.88,0.0004,14
156.17,0.002,0.0098,1.4167,356.71,0.0011,11
275.84,0.0002,0.0083,1.1308,249.53,0.0001,12
170,0.0009,0.0094,1.544,322.64,0.0016,16
22.9,0.0056,0.0253,5.0489,527.38,0.0115,29
780.58,0.0011,0.0089,1.3948,420.27,0.0013,23
85.32,0.0018,0.0089,1.6148,437.79,0.0016,21
131.23,0.0001,0.0088,1.193,296.82,0.0005,8
179.34,0.0056,0.0176,2.8243,379.59,0.0054,14
226.77,0.0024,0.0086,2.1403,348.25,0.0025,14
215.31,0.0033,0.0127,2.4599,323.47,0.0038,20
319.57,0.0024,0.0097,1.9923,395.45,0.0023,30
285.42,0.0033,0.0118,2.3893,331.16,0.0038,23
19.43,0.0055,0.0191,4.2362,411.64,0.0091,1
710.28,0.0009,0.0091,1.3803,399.01,0.0013,29
106.02,0.0011,0.0131,1.6237,390.91,0.0018,6
266.1,0.0007,0.0087,1.4539,355.16,0.0012,7
140.06,0.0027,0.0192,2.0499,222.81,0.0033,26
204.56,0.0007,0.0083,1.5727,212.32,0.0009,25
147.75,0.0015,0.0096,1.7112,220.04,0.0017,22
251.62,0.0006,0.0084,1.2753,359.75,0.0005,13
182.16,0.001,0.0115,1.6587,375.51,0.0017,24
154.2,0.0056,0.0117,3.1399,336.53,0.0049,13
2040.55,0.0021,0.0055,1.7619,433.43,0.0009,12
208.57,0.0032,0.0118,2.2968,315.13,0.0028,18
247.66,0.0006,0.0093,1.2236,369.21,0.0007,26
209.58,0,0.0071,1.1523,236.55,0.0005,26
35.58,0.0087,0.012,3.5187,409.15,0.0059,1
867.45,0.0028,0.0309,2.0066,400.83,0.003,24
76.62,0.0034,0.0088,1.6812,360.56,0.0013,26
118.74,0.0001,0.0094,1.0433,382.39,0.0001,3
748.47,0.0007,0.0083,1.3365,414.1,0.0013,24
65.04,0.0008,0.009000000000000001,1.1876,345.05,0.0003,16
220.98,0.0002,0.0093,1.0336,371.87,0.0001,13
6.49,0.0015,0.0209,1.3851,466.05,0.0033,6
26.45,0.0007,0.0078,1.5756,450.02,0.0016,9
20.67,0,0.0081,1.117,214.72,0.0001,19
22.35,0.0009,0.0062,1.3376,443.73,0.0009,1
147.69,0.0037,0.0178,2.9416,420.73,0.008,29
140.12,0.0001,0.0058,1.1674,435.32,0.0004,7
98.58,0.0008,0.0087,1.3387,312.01,0.001,25
267.22,0.0011,0.0088,1.4888,426.43,0.0017,22
164.34,0.0016,0.0081,1.5115,361.71,0.0016,19
25.92,0.0095,0.0108,4.0993,447.26,0.0112,16
718.35,0.0009,0.0082,1.3278,402.18,0.001,3
86.2,0.0043,0.0096,1.5403,368.75,0.0011,23
312.59,0.0017,0.0101,1.6938,352.59,0.0021,27
13.19,0.0007,0.0095,1.4861,304.86,0.0018,14
45.88,0,0.0047,1.4564,225.91,0.0007,3
14.84,0,0.006,1.0552,433.77,0.0002,5
20.52,0.001,0.0067,1.2304,200.02,0.0002,17
5.9,0,0.0244,1.1433,264.29,0,16
22.24,0,0.0069,1.3009,405.47,0.0006,23
20.65,0,0.0056,1.1451,236.87,0,18
23.37,0,0.0057,1.2077,263.55,0.0001,2
114.18,0,0.0071,1.0223,226.18,0,15
638.17,0,0.0077,1.036,326.5,0.0001,22
64.07,0.0002,0.0056,1.0304,268.66,0,10
216.22,0.0001,0.0085,1.0311,379.29,0.0001,26
768.57,0.0022,0.0481,3.5344,173.44,0.0055,11
3493.69,0.0004,0.0059,2.5226,131.92,0.0009,12
12.5,0,0.0202,2.2552,310.34,0.0061,27
2010.3,0.0007,0.0165,2.9561,78.74,0.0012,12
3.65,0,0,2.6822,46.35,0,23
371.45,0.0003,0.0112,1.1378,322.56,0.0005,26
4.36,0.02,0.004,3.2395,393.26,0.0246,3
61.36,0.0003,0.0092,1.4175,219.99,0.0001,27
63.19,0,0.0117,1.4318,182.71,0,27
41.97,0,0.0017,2.2348,147.56,0,26
127.32,0.0001,0.0065,1.1318,333.48,0.0001,24
102.68,0.0001,0.006999999999999999,1.1007,350.83,0,29
87.89,0.0004,0.0152,1.4067,214.85,0.0001,2
25.46,0,0.0159,1.4573,148.43,0,17
31.91,0,0.0055,1.0897,310.99,0.0001,3
11.22,0,0.0121,1.0761,271.63,0,2
86.56,0,0.0094,1.1302,299.21,0.0006,12
29.16,0.0003,0.0108,1.3902,212.71,0.0001,15
8.43,0,0.0156,1.4589,119.47,0,23
88.43,0.0001,0.0072,1.1156,298.95,0.0001,30
100.83,0.0001,0.0062,1.11,306.65,0.0001,16
516.51,0.0003,0.0089,1.1104,336.76,0.0003,13
20.22,0.0005,0.013000000000000001,1.4755,208.7,0.0001,24
20.48,0.0014,0.011000000000000001,1.4768,124.3,0.0001,30
72.68,0.0006,0.0122,1.645,175.94,0,22
20.71,0.0005,0.0137,1.6322,105.84,0.0001,12
103.42,0,0.0079,1.1083,309.93,0,23
78.84,0.0009,0.0055,1.1112,340.94,0.0001,21
227.98,0.0004,0.0104,1.1066,288.38,0.0002,3
77.3,0,0.0135,1.3842,216.8,0,25
88.85,0,0.0106,1.4039,229.3,0.0003,23
45.53,0.0002,0.0128,1.5607,205.1,0.0001,6
100.35,0,0.0069,1.1179999999999999,305.18,0.0002,3
76.59,0,0.0043,1.1212,295.79,0,6
564.96,0.0003,0.0092,1.1189,340.37,0.0003,11
3.69,0.025,0.0159,3.2568,370.63,0.0213,22
0.54,0.012,0,5.9879999999999995,785.16,0.0882,26
93.25,0,0.0049,1.1037,300.77,0.0001,8
38.13,0,0.0052,1.0733,280.93,0,27
138.69,0,0.0068,1.1093,322.23,0.0001,7
2.42,0.0156,0.5826,3.1215,393.69,0.0079,20
103.66,0.0003,0.0059,1.1234,319.47,0.0003,18
421.81,0.0002,0.0097,1.1094,319.94,0.0002,29
16.11,0,0.0102,1.3539,286.76,0,18
46.16,0,0.0123,1.3923,190.95,0,11
21.02,0,0.0052,1.5407,63.4,0,27
12.61,0.0023,0.0063,1.1002,350.83,0.0002,28
0.72,0,0.0135,1.4595,186.73,0.0033,23
0.81,0,0,1.6667,269.47,0.0059,11
18.17,0.0011,0.0016,1.2751,125.33,0.0008,17
3.85,0.0051,0.0026,1.6394,200.86,0.0049,17
3,0,0,1.4885,180.85,0.0024,13
0.81,0,0,1.8519,50.1,0,21
4.42,0,0,98.9799,4450.83,0,29
2.02,0,0,1.4683,284.36,0.0094,16
2.6,0.0076,0,1.7443,319.58,0,24
1.26,0,0.0079,1.3780000000000001,279.65,0.0038,21
8.67,0,0.0023,1.3299,88.05,0.0008,18
2.9,0,0,1.2103,161.36,0.0025,30
4.6,0,0,1.3918,60.96,0,19
8.68,0.004,0.4197,2.6044,332.11,0.0044,8
3268.41,0.0015,0.0069,1.8947,225.85,0.0022,7
4.35,0,0.0023,1.0114,132.58,0,2
2417.78,0.0016,0.0055,1.7886,235.83,0.0018,22
3.81,0,0,1.034,466.08,0,11
12586.93,0.0022,0.0059,2.1795,268.1,0.0028,21
11.14,0,0.0018,1.0036,130.71,0,16
1.32,0,0,1.25,75.83,0,24
6.16,0,0,1.3942,65.3,0,23
9669.94,0.0011,0.0024,1.689,405.86,0.0016,23
3.63,0,0,1.0054,476.24,0,8
2.19,0,0,1.0676,506.51,0,24
24.17,0,0.0041,1.2949,134.15,0.0007,26
1.66,0,0.006,1.3631,147.35,0,19
7.1,0.0042,0.0056,1.5635,254,0.006,25
32.1,0.0012,0.0024,1.3982,219.53,0.005,18
12.5,0.0016,0.0055,1.281,292.61,0.0021,29
11.96,0.0017,0.005,1.1533,107.01,0.003,16
5.72,0.0025,0.2224,5.0515,521.08,0.0083,4
310.4,0.0002,0.0071,2.5104,162.94,0.0007,11
0.79,0,0,4.8767,595.11,0.0603,29
0.93,0,0,1.9785,2.42,0,18
0.94,0,0,1.9681,1.99,0,10
0.95,0,0,1.9789,2.62,0,21
0.92,0,0,1.9783,2.36,0,9
0.95,0,0,1.9579,2.63,0,2
0.93,0,0,1.9677,2.61,0,24
4517.26,0.0008,0.0026,1.8983,359.98,0.0005,14
4268.8,0.0002,0.0008,1.5403,447.43,0.0003,19
0.97,0.0081,0.5323,4.379,496.18,0.0638,26
0.98,0.0088,0.5841,3.0619,410.61,0.0194,23
653.99,0.0001,0.011000000000000001,1.746,543.46,0.0002,18
10.35,0.0099,0.1849,4.2317,421.06,0.0122,16
692.78,0.0002,0.0034,1.6188,358.16,0.0003,25
1461.75,0.0005,0.0061,1.5859,396.01,0.0007,17
1300.96,0.0001,0.002,1.5811,682.62,0.0001,6
1210.01,0.0004,0.0049,1.5768,499.7,0.0006,14
1621.98,0.0003,0.0028,1.2789,521.24,0.0003,1
2663.84,0.0007,0.0022,1.2722,643.69,0.0005,17
342.76,0.0007,0.0101,1.6931,316.59,0.001,25
288.36,0,0.001,1.1331,540.51,0.0001,6
1833.97,0.0009,0.0152,1.6338,450.03,0.0013,3
1777.75,0.0002,0.0023,1.2588,513.28,0.0002,5
1953.53,0.0003,0.0026,1.1703,633.08,0.0002,16
310.53,0.0002,0.0028,1.1546,543.8,0.0001,22
1370.38,0.0001,0.0016,1.3939,613.32,0.0001,10
0.86,0,0,52.6591,1932.61,0,19
